,year,state,office,candidate,party_detailed,candidatevotes,totalvotes,party_simplified
2728,2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,1266546,2099819,REPUBLICAN
2729,2008,ALABAMA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,813479,2099819,DEMOCRAT
2730,2008,ALABAMA,US PRESIDENT,,INDEPENDENT,16089,2099819,OTHER
2731,2008,ALABAMA,US PRESIDENT,,,3705,2099819,OTHER
2732,2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,193841,326197,REPUBLICAN
2733,2008,ALASKA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,123594,326197,DEMOCRAT
2734,2008,ALASKA,US PRESIDENT,"NADER, RALPH",INDEPENDENT,3783,326197,OTHER
2735,2008,ALASKA,US PRESIDENT,,,1730,326197,OTHER
2736,2008,ALASKA,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",ALASKAN INDEPENDENCE PARTY,1660,326197,OTHER
2737,2008,ALASKA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,1589,326197,LIBERTARIAN
2738,2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,1230111,2293475,REPUBLICAN
2739,2008,ARIZONA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,1034707,2293475,DEMOCRAT
2740,2008,ARIZONA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,12555,2293475,LIBERTARIAN
2741,2008,ARIZONA,US PRESIDENT,"NADER, RALPH",INDEPENDENT,11301,2293475,OTHER
2742,2008,ARIZONA,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,3406,2293475,OTHER
2743,2008,ARIZONA,US PRESIDENT,,,1395,2293475,OTHER
2744,2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,638017,1086617,REPUBLICAN
2745,2008,ARKANSAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,422310,1086617,DEMOCRAT
2746,2008,ARKANSAS,US PRESIDENT,"NADER, RALPH",INDEPENDENT,12882,1086617,OTHER
2747,2008,ARKANSAS,US PRESIDENT,"BARR, BOB",LIBERTARIAN,4776,1086617,LIBERTARIAN
2748,2008,ARKANSAS,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",CONSTITUTION PARTY,4023,1086617,OTHER
2749,2008,ARKANSAS,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,3470,1086617,OTHER
2750,2008,ARKANSAS,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,1139,1086617,OTHER
2751,2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,8274473,13561900,DEMOCRAT
2752,2008,CALIFORNIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,5011781,13561900,REPUBLICAN
2753,2008,CALIFORNIA,US PRESIDENT,"NADER, RALPH",PEACE & FREEDOM,108381,13561900,OTHER
2754,2008,CALIFORNIA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,67582,13561900,LIBERTARIAN
2755,2008,CALIFORNIA,US PRESIDENT,"KEYES, ALAN",AMERICAN INDEPENDENT PARTY,40673,13561900,OTHER
2756,2008,CALIFORNIA,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,38774,13561900,OTHER
2757,2008,CALIFORNIA,US PRESIDENT,,INDEPENDENT,20236,13561900,OTHER
