state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real GDP,Obama 1,Barack Obama,2009-2013,8.95,2.17,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.87,"ROMNEY, MITT",REPUBLICAN,46.98
ALABAMA,Real GDP,Obama 1,Barack Obama,2009-2013,6.58,1.61,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36
ALASKA,Real GDP,Obama 1,Barack Obama,2009-2013,-0.59,-0.08,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81
ARIZONA,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59
ARKANSAS,Real GDP,Obama 1,Barack Obama,2009-2013,9.11,2.21,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
CALIFORNIA,Real GDP,Obama 1,Barack Obama,2009-2013,10.88,2.62,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
COLORADO,Real GDP,Obama 1,Barack Obama,2009-2013,9.37,2.27,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
CONNECTICUT,Real GDP,Obama 1,Barack Obama,2009-2013,-2.49,-0.62,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
DELAWARE,Real GDP,Obama 1,Barack Obama,2009-2013,-0.77,-0.16,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
DISTRICT OF COLUMBIA,Real GDP,Obama 1,Barack Obama,2009-2013,7.31,1.79,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
FLORIDA,Real GDP,Obama 1,Barack Obama,2009-2013,4.72,1.17,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
GEORGIA,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
HAWAII,Real GDP,Obama 1,Barack Obama,2009-2013,8.66,2.1,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
IDAHO,Real GDP,Obama 1,Barack Obama,2009-2013,5.7,1.42,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
ILLINOIS,Real GDP,Obama 1,Barack Obama,2009-2013,7.38,1.8,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
INDIANA,Real GDP,Obama 1,Barack Obama,2009-2013,11.15,2.71,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
IOWA,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.22,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
