state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real PCE,Obama 1,Barack Obama,2009-2013,6.89,1.68,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.87,"ROMNEY, MITT",REPUBLICAN,46.98
ALABAMA,Real PCE,Obama 1,Barack Obama,2009-2013,1.25,0.32,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36
ALASKA,Real PCE,Obama 1,Barack Obama,2009-2013,12.63,3.04,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81
ARIZONA,Real PCE,Obama 1,Barack Obama,2009-2013,10.21,2.46,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59
ARKANSAS,Real PCE,Obama 1,Barack Obama,2009-2013,2.44,0.61,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
CALIFORNIA,Real PCE,Obama 1,Barack Obama,2009-2013,8.64,2.09,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
COLORADO,Real PCE,Obama 1,Barack Obama,2009-2013,7.39,1.81,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
CONNECTICUT,Real PCE,Obama 1,Barack Obama,2009-2013,5.92,1.46,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
DELAWARE,Real PCE,Obama 1,Barack Obama,2009-2013,9.05,2.19,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
DISTRICT OF COLUMBIA,Real PCE,Obama 1,Barack Obama,2009-2013,9.79,2.37,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
FLORIDA,Real PCE,Obama 1,Barack Obama,2009-2013,7.91,1.92,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
GEORGIA,Real PCE,Obama 1,Barack Obama,2009-2013,3.64,0.92,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
HAWAII,Real PCE,Obama 1,Barack Obama,2009-2013,6.51,1.6,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
IDAHO,Real PCE,Obama 1,Barack Obama,2009-2013,9.31,2.26,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
ILLINOIS,Real PCE,Obama 1,Barack Obama,2009-2013,5.55,1.36,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
INDIANA,Real PCE,Obama 1,Barack Obama,2009-2013,5.31,1.3,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
IOWA,Real PCE,Obama 1,Barack Obama,2009-2013,4.8,1.19,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
KANSAS,Real PCE,Obama 1,Barack Obama,2009-2013,2.18,0.55,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
KENTUCKY,Real PCE,Obama 1,Barack Obama,2009-2013,2.16,0.54,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8
LOUISIANA,Real PCE,Obama 1,Barack Obama,2009-2013,3.53,0.87,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58
