state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
ALABAMA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.96,-0.24,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36
ALASKA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.66,1.63,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81
ARIZONA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.52,1.59,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59
ARKANSAS,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.44,0.11,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
CALIFORNIA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.87,1.2,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
COLORADO,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.44,0.37,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
CONNECTICUT,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.5,1.12,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
DELAWARE,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.06,1.24,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
DISTRICT OF COLUMBIA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.84,0.21,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
FLORIDA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.18,0.79,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
GEORGIA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.1,-0.0,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
HAWAII,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.79,0.21,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
IDAHO,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.01,1.24,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
ILLINOIS,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.21,1.04,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
