state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real Personal Income,Trump,Donald Trump,2017-2021,17.9,4.21,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,51.26,"TRUMP, DONALD J.",REPUBLICAN,46.82
ALABAMA,Real Personal Income,Trump,Donald Trump,2017-2021,20.87,4.87,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.03,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.57
ALASKA,Real Personal Income,Trump,Donald Trump,2017-2021,5.5,1.36,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.83,"BIDEN, JOSEPH R. JR",DEMOCRAT,42.77
ARIZONA,Real Personal Income,Trump,Donald Trump,2017-2021,29.55,6.71,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.36,"TRUMP, DONALD J.",REPUBLICAN,49.06
ARKANSAS,Real Personal Income,Trump,Donald Trump,2017-2021,18.16,4.3,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.4,"BIDEN, JOSEPH R. JR",DEMOCRAT,34.78
CALIFORNIA,Real Personal Income,Trump,Donald Trump,2017-2021,19.28,4.52,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.48,"TRUMP, DONALD J.",REPUBLICAN,34.32
COLORADO,Real Personal Income,Trump,Donald Trump,2017-2021,26.19,6.01,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,55.01,"TRUMP, DONALD J.",REPUBLICAN,41.6
CONNECTICUT,Real Personal Income,Trump,Donald Trump,2017-2021,12.94,3.11,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.26,"TRUMP, DONALD J.",REPUBLICAN,39.19
DELAWARE,Real Personal Income,Trump,Donald Trump,2017-2021,15.66,3.71,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,58.74,"TRUMP, DONALD J.",REPUBLICAN,39.77
DISTRICT OF COLUMBIA,Real Personal Income,Trump,Donald Trump,2017-2021,9.34,2.26,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,92.15,"TRUMP, DONALD J.",REPUBLICAN,5.4
FLORIDA,Real Personal Income,Trump,Donald Trump,2017-2021,22.65,5.24,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,47.86
GEORGIA,Real Personal Income,Trump,Donald Trump,2017-2021,18.15,4.26,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.47,"TRUMP, DONALD J.",REPUBLICAN,49.24
HAWAII,Real Personal Income,Trump,Donald Trump,2017-2021,8.02,1.96,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.15,"TRUMP, DONALD J.",REPUBLICAN,33.95
