state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Total Employment,Trump,Donald Trump,2017-2021,3.21,0.83,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,51.26,"TRUMP, DONALD J.",REPUBLICAN,46.82
ALABAMA,Total Employment,Trump,Donald Trump,2017-2021,4.53,1.13,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.03,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.57
ALASKA,Total Employment,Trump,Donald Trump,2017-2021,-2.75,-0.65,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.83,"BIDEN, JOSEPH R. JR",DEMOCRAT,42.77
ARIZONA,Total Employment,Trump,Donald Trump,2017-2021,9.22,2.24,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.36,"TRUMP, DONALD J.",REPUBLICAN,49.06
ARKANSAS,Total Employment,Trump,Donald Trump,2017-2021,2.72,0.69,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.4,"BIDEN, JOSEPH R. JR",DEMOCRAT,34.78
CALIFORNIA,Total Employment,Trump,Donald Trump,2017-2021,1.63,0.45,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.48,"TRUMP, DONALD J.",REPUBLICAN,34.32
COLORADO,Total Employment,Trump,Donald Trump,2017-2021,6.03,1.5,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,55.01,"TRUMP, DONALD J.",REPUBLICAN,41.6
CONNECTICUT,Total Employment,Trump,Donald Trump,2017-2021,-0.47,-0.09,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.26,"TRUMP, DONALD J.",REPUBLICAN,39.19
DELAWARE,Total Employment,Trump,Donald Trump,2017-2021,6.08,1.51,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,58.74,"TRUMP, DONALD J.",REPUBLICAN,39.77
DISTRICT OF COLUMBIA,Total Employment,Trump,Donald Trump,2017-2021,-3.67,-0.89,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,92.15,"TRUMP, DONALD J.",REPUBLICAN,5.4
FLORIDA,Total Employment,Trump,Donald Trump,2017-2021,11.23,2.72,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,47.86
GEORGIA,Total Employment,Trump,Donald Trump,2017-2021,8.33,2.04,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.47,"TRUMP, DONALD J.",REPUBLICAN,49.24
HAWAII,Total Employment,Trump,Donald Trump,2017-2021,-6.56,-1.51,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.15,"TRUMP, DONALD J.",REPUBLICAN,33.95
IDAHO,Total Employment,Trump,Donald Trump,2017-2021,12.81,3.07,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,63.84,"BIDEN, JOSEPH R. JR",DEMOCRAT,33.07
ILLINOIS,Total Employment,Trump,Donald Trump,2017-2021,-0.94,-0.2,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.54,"TRUMP, DONALD J.",REPUBLICAN,40.55
INDIANA,Total Employment,Trump,Donald Trump,2017-2021,1.91,0.5,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.02,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.96
IOWA,Total Employment,Trump,Donald Trump,2017-2021,-0.29,-0.05,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,44.65
KANSAS,Total Employment,Trump,Donald Trump,2017-2021,0.35,0.1,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.21,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.56
KENTUCKY,Total Employment,Trump,Donald Trump,2017-2021,1.44,0.39,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.15
LOUISIANA,Total Employment,Trump,Donald Trump,2017-2021,0.05,0.06,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.46,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.85
