State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
United States,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.1,3.27
United States,GDP,Clinton 2,Bill Clinton,1998-2001,16.76,5.31
United States,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,14.75,4.7
United States,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,14.52,4.63
United States,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.44,1.46
Alabama,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.02,1.66
Alabama,GDP,Clinton 2,Bill Clinton,1998-2001,11.45,3.69
Alabama,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,10.57,3.41
Alabama,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,10.65,3.43
Alabama,Total Employment,Clinton 2,Bill Clinton,1998-2001,0.6,0.2
Alaska,Real GDP,Clinton 2,Bill Clinton,1998-2001,-0.62,-0.16
Alaska,GDP,Clinton 2,Bill Clinton,1998-2001,17.52,5.56
Alaska,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,14.7,4.69
Alaska,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,14.63,4.67
Alaska,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.24,1.07
Arizona,Real GDP,Clinton 2,Bill Clinton,1998-2001,16.91,5.37
Arizona,GDP,Clinton 2,Bill Clinton,1998-2001,19.74,6.2
Arizona,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.67,3.76
Arizona,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,11.93,3.83
Arizona,Total Employment,Clinton 2,Bill Clinton,1998-2001,8.13,2.65
Arkansas,Real GDP,Clinton 2,Bill Clinton,1998-2001,6.25,2.07
Arkansas,GDP,Clinton 2,Bill Clinton,1998-2001,13.12,4.21
Arkansas,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,12.44,3.99
Arkansas,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,12.56,4.03
Arkansas,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.56,0.85
California,Real GDP,Clinton 2,Bill Clinton,1998-2001,15.99,5.13
California,GDP,Clinton 2,Bill Clinton,1998-2001,20.08,6.35
California,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,17.35,5.51
California,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.81,5.02
California,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.93,1.62
Colorado,Real GDP,Clinton 2,Bill Clinton,1998-2001,17.54,5.57
Colorado,GDP,Clinton 2,Bill Clinton,1998-2001,24.19,7.53
Colorado,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,16.91,5.38
Colorado,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,17.24,5.46
Colorado,Total Employment,Clinton 2,Bill Clinton,1998-2001,7.65,2.5
Connecticut,Real GDP,Clinton 2,Bill Clinton,1998-2001,11.35,3.68
Connecticut,GDP,Clinton 2,Bill Clinton,1998-2001,17.77,5.63
Connecticut,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,19.65,6.17
Connecticut,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,18.76,5.91
Connecticut,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.34,1.43
Delaware,Real GDP,Clinton 2,Bill Clinton,1998-2001,16.35,5.19
Delaware,GDP,Clinton 2,Bill Clinton,1998-2001,24.76,7.66
Delaware,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,25.38,7.84
Delaware,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,27.89,8.56
