state,year,candidate,party_simplified,party_detailed,candidatevotes,totalvotes
ALABAMA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,941173,1666272
ALABAMA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,692611,1666272
ALABAMA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,5893,1666272
ALASKA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,167398,285560
ALASKA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,79004,285560
ALASKA,2000,"NADER, RALPH",OTHER,GREEN,28747,285560
ALASKA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,5192,285560
ALASKA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2636,285560
ALASKA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,919,285560
ALASKA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,596,285560
ARIZONA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,781652,1532016
ARIZONA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,685341,1532016
ARIZONA,2000,"NADER, RALPH",OTHER,GREEN,45645,1532016
ARIZONA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,12373,1532016
ARIZONA,2000,"L. NEIL, SMITH",LIBERTARIAN,LIBERTARIAN,5775,1532016
ARIZONA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,1120,1532016
ARKANSAS,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,472940,921781
ARKANSAS,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,422768,921781
ARKANSAS,2000,"NADER, RALPH",OTHER,GREEN,13421,921781
ARKANSAS,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,7358,921781
ARKANSAS,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2781,921781
ARKANSAS,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1415,921781
ARKANSAS,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,1098,921781
CALIFORNIA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,5861203,10965822
CALIFORNIA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,4567429,10965822
CALIFORNIA,2000,"NADER, RALPH",OTHER,GREEN,418707,10965822
CALIFORNIA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,45520,10965822
CALIFORNIA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,44987,10965822
CALIFORNIA,2000,"PHILLIPS, HOWARD",OTHER,AMERICAN INDEPENDENT PARTY,17042,10965822
CALIFORNIA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,10934,10965822
COLORADO,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,883748,1741368
COLORADO,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,738227,1741368
COLORADO,2000,"NADER, RALPH",OTHER,GREEN,91434,1741368
COLORADO,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,12799,1741368
COLORADO,2000,"HAGELIN, JOHN",OTHER,FREEDOM,10465,1741368
COLORADO,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,2240,1741368
COLORADO,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1319,1741368
COLORADO,2000,"MCREYNOLDS, DAVID",OTHER,SOCIALIST,712,1741368
COLORADO,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,216,1741368
COLORADO,2000,"DODGE, EARL",OTHER,PROHIBITION,208,1741368
CONNECTICUT,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,816015,1459525
CONNECTICUT,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,561094,1459525
CONNECTICUT,2000,"NADER, RALPH",OTHER,GREEN,64452,1459525
CONNECTICUT,2000,"PHILLIPS, HOWARD",OTHER,CONCERNED CITIZENS,9695,1459525
CONNECTICUT,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,4731,1459525
CONNECTICUT,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,3484,1459525
DELAWARE,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,180068,327529
DELAWARE,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,137288,327529
DELAWARE,2000,"NADER, RALPH",OTHER,GREEN,8307,327529
DELAWARE,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,777,327529
DELAWARE,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,774,327529
DELAWARE,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,208,327529
DELAWARE,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,107,327529
DISTRICT OF COLUMBIA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,171923,201894
DISTRICT OF COLUMBIA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,18073,201894
DISTRICT OF COLUMBIA,2000,"NADER, RALPH",OTHER,GREEN,10576,201894
DISTRICT OF COLUMBIA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,669,201894
DISTRICT OF COLUMBIA,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,114,201894
FLORIDA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,2912790,5963110
FLORIDA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,2912253,5963110
FLORIDA,2000,"NADER, RALPH",OTHER,GREEN,97488,5963110
FLORIDA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,17484,5963110
FLORIDA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,16415,5963110
FLORIDA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,2281,5963110
FLORIDA,2000,"MOOREHEAD, MONICA",OTHER,WORKERS WORLD,1804,5963110
FLORIDA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1371,5963110
FLORIDA,2000,"MCREYNOLDS, DAVID",OTHER,SOCIALIST,622,5963110
FLORIDA,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,562,5963110
GEORGIA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1419720,2583208
GEORGIA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1116230,2583208
GEORGIA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,36332,2583208
GEORGIA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,INDEPENDENT,10926,2583208
HAWAII,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,205286,367951
HAWAII,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,137845,367951
HAWAII,2000,"NADER, RALPH",OTHER,GREEN,21623,367951
HAWAII,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,1477,367951
HAWAII,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,1071,367951
HAWAII,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,343,367951
HAWAII,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,306,367951
IDAHO,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,336937,501615
IDAHO,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,138637,501615
IDAHO,2000,"NADER, RALPH",OTHER,GREEN,12292,501615
IDAHO,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,7615,501615
IDAHO,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,3488,501615
IDAHO,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1469,501615
IDAHO,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,1177,501615
ILLINOIS,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,2589026,4742108
ILLINOIS,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,2019421,4742108
ILLINOIS,2000,"NADER, RALPH",OTHER,GREEN,103759,4742108
ILLINOIS,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,11623,4742108
ILLINOIS,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,2127,4742108
INDIANA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1245836,2199302
INDIANA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,901980,2199302
INDIANA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,INDEPENDENT,16959,2199302
INDIANA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,15530,2199302
IOWA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,638517,1353022
IOWA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,634373,1353022
IOWA,2000,"NADER, RALPH",OTHER,GREEN,29374,1353022
IOWA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,5731,1353022
IOWA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,3209,1353022
IOWA,2000,"HAGELIN, JOHN",OTHER,NOMINATED BY PETITION,2281,1353022
IOWA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,613,1353022
IOWA,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,190,1353022
IOWA,2000,"MCREYNOLDS, DAVID",OTHER,SOCIALIST,107,1353022
KANSAS,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,622332,1072216
KANSAS,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,399276,1072216
KANSAS,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,7370,1072216
KANSAS,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,4525,1072216
KANSAS,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1254,1072216
KENTUCKY,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,872520,1544106
KENTUCKY,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,638923,1544106
KENTUCKY,2000,"NADER, RALPH",OTHER,GREEN,23118,1544106
KENTUCKY,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,4152,1544106
KENTUCKY,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2885,1544106
KENTUCKY,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,1513,1544106
LOUISIANA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,927871,1765656
LOUISIANA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,792344,1765656
LOUISIANA,2000,"NADER, RALPH",OTHER,GREEN,20473,1765656
LOUISIANA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,14356,1765656
LOUISIANA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,5483,1765656
LOUISIANA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2951,1765656
LOUISIANA,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,1103,1765656
LOUISIANA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,1075,1765656
MAINE,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,319951,651817
MAINE,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,286616,651817
MAINE,2000,"NADER, RALPH",OTHER,GREEN,37127,651817
MAINE,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,4443,651817
MAINE,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,3074,651817
MAINE,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,579,651817
MARYLAND,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1144008,2025212
MARYLAND,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,813827,2025212
MARYLAND,2000,"NADER, RALPH",OTHER,GREEN,53768,2025212
MARYLAND,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,5310,2025212
MARYLAND,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,4248,2025212
MARYLAND,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,918,2025212
MASSACHUSETTS,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1616487,2733964
MASSACHUSETTS,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,878502,2733964
MASSACHUSETTS,2000,"NADER, RALPH",OTHER,GREEN,173564,2733964
MASSACHUSETTS,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,16366,2733964
MASSACHUSETTS,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,11149,2733964
MASSACHUSETTS,2000,"HAGELIN, JOHN",OTHER,UNENROLLED,2884,2733964
MICHIGAN,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,2170418,4232501
MICHIGAN,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1953139,4232501
MICHIGAN,2000,"NADER, RALPH",OTHER,GREEN,84165,4232501
MICHIGAN,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,16711,4232501
MICHIGAN,2000,"PHILLIPS, HOWARD",OTHER,U.S. TAXPAYERS PARTY,3791,4232501
MICHIGAN,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,2426,4232501
MINNESOTA,2000,"GORE, AL",DEMOCRAT,DEMOCRATIC-FARMER-LABOR,1168266,2438685
MINNESOTA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1109659,2438685
MINNESOTA,2000,"NADER, RALPH",OTHER,GREEN,126696,2438685
MINNESOTA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY MINNESOTA,22166,2438685
MINNESOTA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,5282,2438685
MINNESOTA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,3272,2438685
MINNESOTA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,2294,2438685
MINNESOTA,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,1022,2438685
MISSISSIPPI,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,572844,994184
MISSISSIPPI,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,404614,994184
MISSISSIPPI,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,3267,994184
MISSISSIPPI,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,2265,994184
MISSISSIPPI,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2009,994184
MISSISSIPPI,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,450,994184
MISSOURI,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1189924,2359892
MISSOURI,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1111138,2359892
MISSOURI,2000,"NADER, RALPH",OTHER,GREEN,38515,2359892
MISSOURI,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,9818,2359892
MISSOURI,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,7436,2359892
MISSOURI,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1957,2359892
MISSOURI,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,1104,2359892
MONTANA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,240178,410986
MONTANA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,137126,410986
MONTANA,2000,"NADER, RALPH",OTHER,GREEN,24437,410986
MONTANA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,5697,410986
MONTANA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,1718,410986
MONTANA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1155,410986
MONTANA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,675,410986
NEBRASKA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,433862,697019
NEBRASKA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,231780,697019
NEBRASKA,2000,"NADER, RALPH",OTHER,GREEN,24540,697019
NEBRASKA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2245,697019
NEVADA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,301575,609426
NEVADA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,279978,609426
NEVADA,2000,"NADER, RALPH",OTHER,GREEN,15008,609426
NEVADA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,CITIZENS FIRST,4747,609426
NEVADA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,3311,609426
NEVADA,2000,"PHILLIPS, HOWARD",OTHER,INDEPENDENT AMERICAN,621,609426
NEVADA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,415,609426
NEW HAMPSHIRE,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,273559,569081
NEW HAMPSHIRE,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,266348,569081
NEW HAMPSHIRE,2000,"NADER, RALPH",OTHER,GREEN,22198,569081
NEW HAMPSHIRE,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2757,569081
NEW HAMPSHIRE,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,INDEPENDENCE,2615,569081
NEW JERSEY,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1788850,3187226
NEW JERSEY,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1284173,3187226
NEW MEXICO,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,286783,598605
NEW MEXICO,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,286417,598605
NEW MEXICO,2000,"NADER, RALPH",OTHER,GREEN,21251,598605
NEW MEXICO,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,2058,598605
NEW MEXICO,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,1392,598605
NEW MEXICO,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,361,598605
NEW MEXICO,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,343,598605
NEW YORK,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,3942215,6960215
NEW YORK,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,2258577,6960215
NEW YORK,2000,"NADER, RALPH",OTHER,GREEN,244030,6960215
NEW YORK,2000,"BUSH, GEORGE W.",OTHER,CONSERVATIVE,144797,6960215
NEW YORK,2000,"GORE, AL",OTHER,WORKING FAMILIES,88395,6960215
NEW YORK,2000,"GORE, AL",OTHER,LIBERAL PARTY,77087,6960215
NEW YORK,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,RIGHT-TO-LIFE,25175,6960215
NEW YORK,2000,"HAGELIN, JOHN",OTHER,INDEPENDENCE,24361,6960215
NEW YORK,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,7649,6960215
NEW YORK,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,6424,6960215
NEW YORK,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,1789,6960215
NEW YORK,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,1498,6960215
NORTH CAROLINA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1631163,2914990
NORTH CAROLINA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1257692,2914990
NORTH CAROLINA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,13891,2914990
NORTH CAROLINA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,8874,2914990
NORTH CAROLINA,2000,NOT DESIGNATED,OTHER,SOCIALIST,3370,2914990
NORTH DAKOTA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,174852,288256
NORTH DAKOTA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,95284,288256
NORTH DAKOTA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,7288,288256
NORTH DAKOTA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,373,288256
OHIO,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,2350363,4701998
OHIO,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,2183628,4701998
OHIO,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,13473,4701998
OHIO,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,6181,4701998
OKLAHOMA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,744337,1234229
OKLAHOMA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,474276,1234229
OKLAHOMA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,9014,1234229
OKLAHOMA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,6602,1234229
OREGON,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,720342,1533950
OREGON,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,713577,1533950
OREGON,2000,"NADER, RALPH",OTHER,GREEN,77357,1533950
OREGON,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,7447,1533950
OREGON,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,INDEPENDENT,7063,1533950
OREGON,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,2574,1533950
OREGON,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,2189,1533950
PENNSYLVANIA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,2485967,4912185
PENNSYLVANIA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,2281127,4912185
PENNSYLVANIA,2000,"NADER, RALPH",OTHER,GREEN,103392,4912185
PENNSYLVANIA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,16023,4912185
PENNSYLVANIA,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,14428,4912185
PENNSYLVANIA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,11248,4912185
RHODE ISLAND,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,249508,409112
RHODE ISLAND,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,130555,409112
RHODE ISLAND,2000,"NADER, RALPH",OTHER,GREEN,25052,409112
RHODE ISLAND,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,2273,409112
RHODE ISLAND,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,742,409112
RHODE ISLAND,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,271,409112
RHODE ISLAND,2000,"MOOREHEAD, MONICA",OTHER,WORKERS WORLD,199,409112
RHODE ISLAND,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,97,409112
SOUTH CAROLINA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,786892,1383902
SOUTH CAROLINA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,566037,1383902
SOUTH CAROLINA,2000,"NADER, RALPH",OTHER,UNITED CITIZENS,20279,1383902
SOUTH CAROLINA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,4760,1383902
SOUTH CAROLINA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,3309,1383902
SOUTH CAROLINA,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,943,1383902
SOUTH DAKOTA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,190700,316269
SOUTH DAKOTA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,118804,316269
SOUTH DAKOTA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,3322,316269
SOUTH DAKOTA,2000,"PHILLIPS, HOWARD",OTHER,INDEPENDENT,1781,316269
SOUTH DAKOTA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,1662,316269
TENNESSEE,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1061949,2076181
TENNESSEE,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,981720,2076181
TEXAS,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,3799639,6407637
TEXAS,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,2433746,6407637
TEXAS,2000,"NADER, RALPH",OTHER,GREEN,137994,6407637
TEXAS,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,23160,6407637
UTAH,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,515096,770754
UTAH,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,203053,770754
UTAH,2000,"NADER, RALPH",OTHER,GREEN,35850,770754
UTAH,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,9319,770754
UTAH,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,3616,770754
UTAH,2000,"PHILLIPS, HOWARD",OTHER,INDEPENDENT AMERICAN,2709,770754
UTAH,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,763,770754
UTAH,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,186,770754
VERMONT,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,149022,294308
VERMONT,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,119775,294308
VERMONT,2000,"NADER, RALPH",OTHER,PROGRESSIVE/GREEN,20374,294308
VERMONT,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,2192,294308
VERMONT,2000,"DENNIS """"DENNY"""", LANE",OTHER,VERMONT GRASSROOTS,1044,294308
VERMONT,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,784,294308
VERMONT,2000,"HAGELIN, JOHN",OTHER,NATURAL LAW,219,294308
VERMONT,2000,"MCREYNOLDS, DAVID",OTHER,LIBERTY UNION PARTY,161,294308
VERMONT,2000,"PHILLIPS, HOWARD",OTHER,CONSTITUTION PARTY,153,294308
VERMONT,2000,"HARRIS, JAMES",OTHER,SOCIALIST WORKERS,70,294308
VIRGINIA,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1437490,2739447
VIRGINIA,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1217290,2739447
VIRGINIA,2000,"NADER, RALPH",OTHER,GREEN,59398,2739447
VIRGINIA,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,15198,2739447
VIRGINIA,2000,"BUCHANAN, PATRICK """"PAT""""",OTHER,REFORM PARTY,5455,2739447
VIRGINIA,2000,"PHILLIPS, HOWARD",OTHER,CONSERVATIVE,1809,2739447
WASHINGTON,2000,"GORE, AL",DEMOCRAT,DEMOCRAT,1247652,2487433
WASHINGTON,2000,"BUSH, GEORGE W.",REPUBLICAN,REPUBLICAN,1108864,2487433
WASHINGTON,2000,"NADER, RALPH",OTHER,GREEN,103002,2487433
WASHINGTON,2000,"BROWNE, HARRY",LIBERTARIAN,LIBERTARIAN,13135,2487433
