state,year,candidate,party_simplified,party_detailed,candidatevotes,totalvotes
ALABAMA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,659170,1182850
ALABAMA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,504070,1182850
ALABAMA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,9198,1182850
ALABAMA,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,6669,1182850
ALABAMA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,1954,1182850
ALABAMA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,1481,1182850
ALASKA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,71555,123574
ALASKA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,44058,123574
ALASKA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,6785,123574
ARIZONA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,418642,742719
ARIZONA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,295602,742719
ARIZONA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,19229,742719
ARIZONA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,7647,742719
ARIZONA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,928,742719
ARIZONA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,564,742719
ARIZONA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,85,742719
ARKANSAS,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,498604,767535
ARKANSAS,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,267903,767535
ARKANSAS,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,389,767535
CALIFORNIA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,3882244,7803770
CALIFORNIA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,3742284,7803770
CALIFORNIA,1976,"MACBRIDE, ROGER",OTHER,INDEPENDENT,56388,7803770
CALIFORNIA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,51098,7803770
CALIFORNIA,1976,"WRIGHT, MARGARET",OTHER,PEACE & FREEDOM,41731,7803770
CALIFORNIA,1976,"CAMEJO, PETER",OTHER,INDEPENDENT,17259,7803770
CALIFORNIA,1976,"HALL, GUS",OTHER,INDEPENDENT,12766,7803770
COLORADO,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,584278,1081440
COLORADO,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,460801,1081440
COLORADO,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,26047,1081440
COLORADO,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,5338,1081440
COLORADO,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,2886,1081440
COLORADO,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,1122,1081440
COLORADO,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,565,1081440
COLORADO,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,403,1081440
CONNECTICUT,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,719261,1386355
CONNECTICUT,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,647895,1386355
CONNECTICUT,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,7101,1386355
CONNECTICUT,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,1789,1386355
DELAWARE,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,122461,235642
DELAWARE,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,109780,235642
DELAWARE,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,645,235642
DELAWARE,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,135,235642
DELAWARE,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,103,235642
DISTRICT OF COLUMBIA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,137818,168830
DISTRICT OF COLUMBIA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,27873,168830
FLORIDA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,1636000,3150631
FLORIDA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,1469531,3150631
FLORIDA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,23643,3150631
FLORIDA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,21325,3150631
GEORGIA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,979409,1463152
GEORGIA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,483743,1463152
HAWAII,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,147375,291301
HAWAII,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,140003,291301
HAWAII,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,3923,291301
IDAHO,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,204151,340932
IDAHO,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,126549,340932
IDAHO,1976,"MADDOX, LESTER",OTHER,AMERICAN,5935,340932
IDAHO,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,3558,340932
IDAHO,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,739,340932
ILLINOIS,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,2364269,4721282
ILLINOIS,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,2271295,4721282
ILLINOIS,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,55939,4721282
ILLINOIS,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,9250,4721282
ILLINOIS,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,8057,4721282
ILLINOIS,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,3615,4721282
ILLINOIS,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,2422,4721282
ILLINOIS,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,2018,4721282
INDIANA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,1183958,2220362
INDIANA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,1014714,2220362
INDIANA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,14048,2220362
INDIANA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,5695,2220362
INDIANA,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,1947,2220362
IOWA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,632864,1279303
IOWA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,619931,1279303
IOWA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,20057,1279303
IOWA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN PARTY OF IOWA,3041,1279303
IOWA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,1454,1279303
IOWA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,551,1279303
IOWA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,262,1279303
IOWA,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,241,1279303
IOWA,1976,"ZEIDLER, FRANK",OTHER,SOCIALIST U.S.A.,233,1279303
IOWA,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,160,1279303
KANSAS,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,502752,957845
KANSAS,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,430421,957845
KANSAS,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,13185,957845
KANSAS,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,4724,957845
KANSAS,1976,"MACBRIDE, ROGER",OTHER,INDEPENDENT,3242,957845
KANSAS,1976,"MADDOX, LESTER",OTHER,CONSERVATIVE,2118,957845
KANSAS,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,1403,957845
KENTUCKY,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,615717,1167142
KENTUCKY,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,531852,1167142
KENTUCKY,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,8308,1167142
KENTUCKY,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,6837,1167142
KENTUCKY,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,2328,1167142
KENTUCKY,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,814,1167142
KENTUCKY,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,510,1167142
KENTUCKY,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,426,1167142
KENTUCKY,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,350,1167142
LOUISIANA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,661365,1277383
LOUISIANA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,587446,1277383
LOUISIANA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,10058,1277383
LOUISIANA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,7417,1277383
LOUISIANA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,6490,1277383
LOUISIANA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,3134,1277383
LOUISIANA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,1473,1277383
MAINE,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,236320,482968
MAINE,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,232279,482968
MAINE,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,10874,482968
MAINE,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,3495,482968
MARYLAND,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,759612,1432273
MARYLAND,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,672661,1432273
MASSACHUSETTS,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,1429475,2547558
MASSACHUSETTS,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,1030276,2547558
MASSACHUSETTS,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,65637,2547558
MASSACHUSETTS,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,8138,2547558
MASSACHUSETTS,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,7555,2547558
MASSACHUSETTS,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,4922,2547558
MASSACHUSETTS,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,135,2547558
MASSACHUSETTS,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,19,2547558
MICHIGAN,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,1893742,3651590
MICHIGAN,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,1696714,3651590
MICHIGAN,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,47905,3651590
MICHIGAN,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,5407,3651590
MICHIGAN,1976,"WRIGHT, MARGARET",OTHER,HUMAN RIGHTS,3504,3651590
MICHIGAN,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,1804,3651590
