Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Obama 1,Barack Obama,2009-2013,6.58,1.61
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.68,0.17
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real PCE,Obama 1,Barack Obama,2009-2013,1.25,0.32
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.52,-0.38
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.96,-0.24
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Total Employment,Obama 1,Barack Obama,2009-2013,1.75,0.44
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Obama 2,Barack Obama,2013-2017,4.66,1.15
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Personal Income,Obama 2,Barack Obama,2013-2017,9.48,2.3
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real PCE,Obama 2,Barack Obama,2013-2017,9.01,2.18
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.53,1.85
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.08,1.73
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Total Employment,Obama 2,Barack Obama,2013-2017,5.0,1.23
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Trump,Donald Trump,2017-2021,7.9,1.94
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Personal Income,Trump,Donald Trump,2017-2021,20.87,4.87
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real PCE,Trump,Donald Trump,2017-2021,14.18,3.42
