state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
ALABAMA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.53,1.85,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36
ALASKA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,0.92,0.27,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55
ARIZONA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.97,3.1,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0
ARKANSAS,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.44,2.52,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65
CALIFORNIA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.76,3.51,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62
COLORADO,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.49,2.55,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25
CONNECTICUT,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.46,1.82,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93
DELAWARE,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.12,2.23,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92
DISTRICT OF COLUMBIA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,17.4,4.1,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07
FLORIDA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.85,3.31,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82
GEORGIA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.08,3.36,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64
HAWAII,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.04,3.12,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44
IDAHO,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.64,2.33,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49
ILLINOIS,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.8,2.15,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76
INDIANA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.8,2.6,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77
IOWA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,6.22,1.54,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75
KANSAS,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,2.53,0.63,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05
KENTUCKY,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.32,2.26,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68
LOUISIANA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,2.25,0.58,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45
MAINE,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,11.06,2.7,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48
MARYLAND,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.47,2.29,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0
MASSACHUSETTS,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.72,2.14,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29
MICHIGAN,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.47,3.23,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27
MINNESOTA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.66,2.34,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93
MISSISSIPPI,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,4.45,1.1,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11
MISSOURI,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.32,2.03,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14
MONTANA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,6.8,1.66,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94
NEBRASKA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,5.79,1.45,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.75,"CLINTON, HILLARY",DEMOCRAT,33.7
NEVADA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.55,3.48,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.92,"TRUMP, DONALD J.",REPUBLICAN,45.5
NEW HAMPSHIRE,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.02,1.71,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.83,"TRUMP, DONALD J.",REPUBLICAN,46.46
NEW JERSEY,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.57,2.08,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.45,"TRUMP, DONALD J.",REPUBLICAN,41.35
NEW MEXICO,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.64,1.88,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.26,"TRUMP, DONALD J.",REPUBLICAN,40.04
NEW YORK,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.63,3.02,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,56.14,"TRUMP, DONALD J.",REPUBLICAN,32.39
NORTH CAROLINA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.11,2.91,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.83,"CLINTON, HILLARY",DEMOCRAT,46.17
NORTH DAKOTA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,-4.8,-1.15,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.96,"CLINTON, HILLARY",DEMOCRAT,27.23
OHIO,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.09,2.44,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.69,"CLINTON, HILLARY",DEMOCRAT,43.56
OKLAHOMA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,-2.95,-0.66,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.32,"CLINTON, HILLARY",DEMOCRAT,28.93
OREGON,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.05,3.35,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,50.07,"TRUMP, DONALD J.",REPUBLICAN,39.09
PENNSYLVANIA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.0,1.71,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.58,"CLINTON, HILLARY",DEMOCRAT,47.85
RHODE ISLAND,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,6.19,1.52,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.41,"TRUMP, DONALD J.",REPUBLICAN,38.9
SOUTH CAROLINA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.61,3.25,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,54.94,"CLINTON, HILLARY",DEMOCRAT,40.67
SOUTH DAKOTA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.91,2.18,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.53,"CLINTON, HILLARY",DEMOCRAT,31.74
TENNESSEE,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.75,2.13,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.72,"CLINTON, HILLARY",DEMOCRAT,34.72
TEXAS,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,5.51,1.39,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.23,"CLINTON, HILLARY",DEMOCRAT,43.24
UTAH,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.12,3.38,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,45.54,"CLINTON, HILLARY",DEMOCRAT,27.46
VERMONT,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,5.96,1.48,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.72,"TRUMP, DONALD J.",REPUBLICAN,29.76
VIRGINIA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.58,2.55,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,49.75,"TRUMP, DONALD J.",REPUBLICAN,44.43
WASHINGTON,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.44,2.29,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,52.54,"TRUMP, DONALD J.",REPUBLICAN,36.83
WEST VIRGINIA,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.53,1.84,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,68.63,"CLINTON, HILLARY",DEMOCRAT,26.48
WISCONSIN,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.95,2.18,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.22,"CLINTON, HILLARY",DEMOCRAT,46.45
WYOMING,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,2.48,0.72,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,67.4,"CLINTON, HILLARY",DEMOCRAT,21.63
