State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
United States,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.1,3.27
United States,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.44,1.46
Alabama,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.02,1.66
Alabama,Total Employment,Clinton 2,Bill Clinton,1998-2001,0.6,0.2
Alaska,Real GDP,Clinton 2,Bill Clinton,1998-2001,-0.62,-0.16
Alaska,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.24,1.07
Arizona,Real GDP,Clinton 2,Bill Clinton,1998-2001,16.91,5.37
Arizona,Total Employment,Clinton 2,Bill Clinton,1998-2001,8.13,2.65
Arkansas,Real GDP,Clinton 2,Bill Clinton,1998-2001,6.25,2.07
Arkansas,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.56,0.85
California,Real GDP,Clinton 2,Bill Clinton,1998-2001,15.99,5.13
California,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.93,1.62
Colorado,Real GDP,Clinton 2,Bill Clinton,1998-2001,17.54,5.57
Colorado,Total Employment,Clinton 2,Bill Clinton,1998-2001,7.65,2.5
Connecticut,Real GDP,Clinton 2,Bill Clinton,1998-2001,11.35,3.68
Connecticut,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.34,1.43
Delaware,Real GDP,Clinton 2,Bill Clinton,1998-2001,16.35,5.19
Delaware,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.52,1.82
District of Columbia,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.17,2.98
District of Columbia,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.21,2.03
Florida,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.71,4.07
Florida,Total Employment,Clinton 2,Bill Clinton,1998-2001,7.48,2.44
Georgia,Real GDP,Clinton 2,Bill Clinton,1998-2001,11.92,3.85
Georgia,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.73,1.88
Hawaii,Real GDP,Clinton 2,Bill Clinton,1998-2001,2.55,0.85
Hawaii,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.95,0.65
Idaho,Real GDP,Clinton 2,Bill Clinton,1998-2001,19.12,6.18
Idaho,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.92,2.26
Illinois,Real GDP,Clinton 2,Bill Clinton,1998-2001,7.62,2.49
Illinois,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.39,0.79
Indiana,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.12,1.71
Indiana,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.29,0.44
Iowa,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.82,1.93
Iowa,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.32,0.44
Kansas,Real GDP,Clinton 2,Bill Clinton,1998-2001,6.08,1.99
Kansas,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.56,0.85
Kentucky,Real GDP,Clinton 2,Bill Clinton,1998-2001,0.31,0.13
Kentucky,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.69,0.9
Louisiana,Real GDP,Clinton 2,Bill Clinton,1998-2001,0.56,0.22
Louisiana,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.64,0.87
Maine,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.31,3.96
Maine,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.2,1.71
Maryland,Real GDP,Clinton 2,Bill Clinton,1998-2001,13.03,4.17
Maryland,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.28,2.06
Massachusetts,Real GDP,Clinton 2,Bill Clinton,1998-2001,15.7,5.02
Massachusetts,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.62,1.52
Michigan,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.11,1.74
Michigan,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.65,0.89
Minnesota,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.85,3.53
Minnesota,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.95,1.63
Mississippi,Real GDP,Clinton 2,Bill Clinton,1998-2001,2.81,0.94
Mississippi,Total Employment,Clinton 2,Bill Clinton,1998-2001,0.73,0.25
Missouri,Real GDP,Clinton 2,Bill Clinton,1998-2001,4.47,1.48
Missouri,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.97,0.66
Montana,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.92,1.3
Montana,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.51,1.48
Nebraska,Real GDP,Clinton 2,Bill Clinton,1998-2001,8.6,2.79
Nebraska,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.23,1.07
Nevada,Real GDP,Clinton 2,Bill Clinton,1998-2001,13.12,4.22
Nevada,Total Employment,Clinton 2,Bill Clinton,1998-2001,13.62,4.36
New Hampshire,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.31,3.97
New Hampshire,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.03,1.98
New Jersey,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.49,3.4
New Jersey,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.14,2.02
New Mexico,Real GDP,Clinton 2,Bill Clinton,1998-2001,7.79,2.56
New Mexico,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.16,1.37
New York,Real GDP,Clinton 2,Bill Clinton,1998-2001,11.55,3.72
New York,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.43,1.78
North Carolina,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.07,3.27
North Carolina,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.13,1.04
North Dakota,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.67,1.86
North Dakota,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.41,0.8
Ohio,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.09,1.03
Ohio,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.92,0.64
Oklahoma,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.37,3.03
Oklahoma,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.64,1.2
Oregon,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.78,3.54
Oregon,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.83,0.94
Pennsylvania,Real GDP,Clinton 2,Bill Clinton,1998-2001,7.99,2.6
Pennsylvania,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.87,1.28
Rhode Island,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.53,3.09
Rhode Island,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.49,1.8
South Carolina,Real GDP,Clinton 2,Bill Clinton,1998-2001,8.03,2.62
South Carolina,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.97,0.99
South Dakota,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.6,4.06
South Dakota,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.27,1.41
Tennessee,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.88,1.29
Tennessee,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.44,0.82
Texas,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.92,3.52
Texas,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.44,2.1
Utah,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.78,3.17
Utah,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.27,2.05
Vermont,Real GDP,Clinton 2,Bill Clinton,1998-2001,15.34,4.88
Vermont,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.99,1.96
Virginia,Real GDP,Clinton 2,Bill Clinton,1998-2001,14.02,4.47
Virginia,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.99,1.96
Washington,Real GDP,Clinton 2,Bill Clinton,1998-2001,6.02,2.05
Washington,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.93,1.3
West Virginia,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.04,1.01
West Virginia,Total Employment,Clinton 2,Bill Clinton,1998-2001,0.48,0.16
Wisconsin,Real GDP,Clinton 2,Bill Clinton,1998-2001,8.99,2.92
Wisconsin,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.53,1.17
Wyoming,Real GDP,Clinton 2,Bill Clinton,1998-2001,14.24,4.55
Wyoming,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.48,2.12
United States,Real GDP,Bush 1,George W. Bush,2001-2005,12.35,2.96
United States,Total Employment,Bush 1,George W. Bush,2001-2005,4.12,1.02
Alabama,Real GDP,Bush 1,George W. Bush,2001-2005,17.1,4.04
Alabama,Total Employment,Bush 1,George W. Bush,2001-2005,4.66,1.15
Alaska,Real GDP,Bush 1,George W. Bush,2001-2005,10.98,2.67
Alaska,Total Employment,Bush 1,George W. Bush,2001-2005,6.81,1.66
Arizona,Real GDP,Bush 1,George W. Bush,2001-2005,22.92,5.31
Arizona,Total Employment,Bush 1,George W. Bush,2001-2005,13.81,3.31
Arkansas,Real GDP,Bush 1,George W. Bush,2001-2005,17.71,4.17
Arkansas,Total Employment,Bush 1,George W. Bush,2001-2005,3.72,0.92
California,Real GDP,Bush 1,George W. Bush,2001-2005,14.43,3.43
California,Total Employment,Bush 1,George W. Bush,2001-2005,4.06,1.0
Colorado,Real GDP,Bush 1,George W. Bush,2001-2005,7.97,1.95
Colorado,Total Employment,Bush 1,George W. Bush,2001-2005,3.23,0.81
Connecticut,Real GDP,Bush 1,George W. Bush,2001-2005,9.25,2.27
Connecticut,Total Employment,Bush 1,George W. Bush,2001-2005,2.2,0.55
Delaware,Real GDP,Bush 1,George W. Bush,2001-2005,1.0,0.3
Delaware,Total Employment,Bush 1,George W. Bush,2001-2005,5.16,1.27
District of Columbia,Real GDP,Bush 1,George W. Bush,2001-2005,13.2,3.16
District of Columbia,Total Employment,Bush 1,George W. Bush,2001-2005,3.77,0.93
Florida,Real GDP,Bush 1,George W. Bush,2001-2005,23.58,5.44
Florida,Total Employment,Bush 1,George W. Bush,2001-2005,12.62,3.02
Georgia,Real GDP,Bush 1,George W. Bush,2001-2005,13.75,3.28
Georgia,Total Employment,Bush 1,George W. Bush,2001-2005,6.65,1.63
Hawaii,Real GDP,Bush 1,George W. Bush,2001-2005,20.67,4.81
Hawaii,Total Employment,Bush 1,George W. Bush,2001-2005,8.96,2.17
Idaho,Real GDP,Bush 1,George W. Bush,2001-2005,21.84,5.09
Idaho,Total Employment,Bush 1,George W. Bush,2001-2005,9.97,2.41
Illinois,Real GDP,Bush 1,George W. Bush,2001-2005,7.68,1.87
Illinois,Total Employment,Bush 1,George W. Bush,2001-2005,0.34,0.09
Indiana,Real GDP,Bush 1,George W. Bush,2001-2005,11.85,2.85
Indiana,Total Employment,Bush 1,George W. Bush,2001-2005,1.28,0.32
Iowa,Real GDP,Bush 1,George W. Bush,2001-2005,19.95,4.68
Iowa,Total Employment,Bush 1,George W. Bush,2001-2005,1.67,0.42
Kansas,Real GDP,Bush 1,George W. Bush,2001-2005,8.47,2.06
Kansas,Total Employment,Bush 1,George W. Bush,2001-2005,-0.11,-0.02
Kentucky,Real GDP,Bush 1,George W. Bush,2001-2005,12.83,3.07
Kentucky,Total Employment,Bush 1,George W. Bush,2001-2005,2.37,0.59
Louisiana,Real GDP,Bush 1,George W. Bush,2001-2005,18.54,4.35
Louisiana,Total Employment,Bush 1,George W. Bush,2001-2005,-0.03,-0.0
Maine,Real GDP,Bush 1,George W. Bush,2001-2005,10.22,2.47
Maine,Total Employment,Bush 1,George W. Bush,2001-2005,2.76,0.69
Maryland,Real GDP,Bush 1,George W. Bush,2001-2005,15.87,3.75
Maryland,Total Employment,Bush 1,George W. Bush,2001-2005,6.12,1.5
Massachusetts,Real GDP,Bush 1,George W. Bush,2001-2005,7.44,1.82
Massachusetts,Total Employment,Bush 1,George W. Bush,2001-2005,-0.12,-0.02
Michigan,Real GDP,Bush 1,George W. Bush,2001-2005,8.93,2.16
Michigan,Total Employment,Bush 1,George W. Bush,2001-2005,-0.62,-0.15
Minnesota,Real GDP,Bush 1,George W. Bush,2001-2005,14.51,3.45
Minnesota,Total Employment,Bush 1,George W. Bush,2001-2005,3.01,0.75
Mississippi,Real GDP,Bush 1,George W. Bush,2001-2005,10.88,2.62
Mississippi,Total Employment,Bush 1,George W. Bush,2001-2005,1.22,0.3
Missouri,Real GDP,Bush 1,George W. Bush,2001-2005,9.59,2.32
Missouri,Total Employment,Bush 1,George W. Bush,2001-2005,2.36,0.59
Montana,Real GDP,Bush 1,George W. Bush,2001-2005,18.84,4.41
Montana,Total Employment,Bush 1,George W. Bush,2001-2005,7.26,1.77
Nebraska,Real GDP,Bush 1,George W. Bush,2001-2005,14.94,3.56
Nebraska,Total Employment,Bush 1,George W. Bush,2001-2005,1.45,0.36
Nevada,Real GDP,Bush 1,George W. Bush,2001-2005,29.6,6.73
Nevada,Total Employment,Bush 1,George W. Bush,2001-2005,19.33,4.54
New Hampshire,Real GDP,Bush 1,George W. Bush,2001-2005,12.7,3.04
New Hampshire,Total Employment,Bush 1,George W. Bush,2001-2005,4.75,1.17
New Jersey,Real GDP,Bush 1,George W. Bush,2001-2005,7.21,1.76
New Jersey,Total Employment,Bush 1,George W. Bush,2001-2005,4.48,1.1
New Mexico,Real GDP,Bush 1,George W. Bush,2001-2005,18.22,4.32
New Mexico,Total Employment,Bush 1,George W. Bush,2001-2005,7.55,1.84
New York,Real GDP,Bush 1,George W. Bush,2001-2005,4.89,1.21
New York,Total Employment,Bush 1,George W. Bush,2001-2005,2.07,0.52
North Carolina,Real GDP,Bush 1,George W. Bush,2001-2005,14.16,3.38
North Carolina,Total Employment,Bush 1,George W. Bush,2001-2005,4.89,1.21
North Dakota,Real GDP,Bush 1,George W. Bush,2001-2005,16.97,4.02
North Dakota,Total Employment,Bush 1,George W. Bush,2001-2005,3.64,0.9
Ohio,Real GDP,Bush 1,George W. Bush,2001-2005,9.4,2.27
Ohio,Total Employment,Bush 1,George W. Bush,2001-2005,-0.25,-0.06
Oklahoma,Real GDP,Bush 1,George W. Bush,2001-2005,11.67,2.8
Oklahoma,Total Employment,Bush 1,George W. Bush,2001-2005,1.69,0.43
Oregon,Real GDP,Bush 1,George W. Bush,2001-2005,16.78,3.96
Oregon,Total Employment,Bush 1,George W. Bush,2001-2005,5.67,1.4
Pennsylvania,Real GDP,Bush 1,George W. Bush,2001-2005,8.42,2.04
Pennsylvania,Total Employment,Bush 1,George W. Bush,2001-2005,2.0,0.5
Rhode Island,Real GDP,Bush 1,George W. Bush,2001-2005,12.43,2.98
Rhode Island,Total Employment,Bush 1,George W. Bush,2001-2005,3.5,0.86
South Carolina,Real GDP,Bush 1,George W. Bush,2001-2005,12.55,3.0
South Carolina,Total Employment,Bush 1,George W. Bush,2001-2005,4.42,1.09
South Dakota,Real GDP,Bush 1,George W. Bush,2001-2005,21.4,5.02
South Dakota,Total Employment,Bush 1,George W. Bush,2001-2005,3.15,0.78
Tennessee,Real GDP,Bush 1,George W. Bush,2001-2005,15.48,3.67
Tennessee,Total Employment,Bush 1,George W. Bush,2001-2005,4.41,1.09
Texas,Real GDP,Bush 1,George W. Bush,2001-2005,12.04,2.9
Texas,Total Employment,Bush 1,George W. Bush,2001-2005,5.85,1.44
Utah,Real GDP,Bush 1,George W. Bush,2001-2005,18.14,4.28
Utah,Total Employment,Bush 1,George W. Bush,2001-2005,9.04,2.2
Vermont,Real GDP,Bush 1,George W. Bush,2001-2005,14.02,3.35
Vermont,Total Employment,Bush 1,George W. Bush,2001-2005,3.28,0.81
Virginia,Real GDP,Bush 1,George W. Bush,2001-2005,14.4,3.43
Virginia,Total Employment,Bush 1,George W. Bush,2001-2005,6.42,1.57
Washington,Real GDP,Bush 1,George W. Bush,2001-2005,12.75,3.07
Washington,Total Employment,Bush 1,George W. Bush,2001-2005,4.9,1.21
West Virginia,Real GDP,Bush 1,George W. Bush,2001-2005,6.74,1.65
West Virginia,Total Employment,Bush 1,George W. Bush,2001-2005,2.09,0.52
Wisconsin,Real GDP,Bush 1,George W. Bush,2001-2005,11.51,2.76
Wisconsin,Total Employment,Bush 1,George W. Bush,2001-2005,3.17,0.78
Wyoming,Real GDP,Bush 1,George W. Bush,2001-2005,14.56,3.46
Wyoming,Total Employment,Bush 1,George W. Bush,2001-2005,7.35,1.79
United States,Real GDP,Bush 2,George W. Bush,2005-2009,2.26,0.58
United States,Total Employment,Bush 2,George W. Bush,2005-2009,0.75,0.21
Alabama,Real GDP,Bush 2,George W. Bush,2005-2009,-1.55,-0.37
