,Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
0,2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Obama 1,Barack Obama,2009-2013,6.58,1.61
6,2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Obama 2,Barack Obama,2013-2017,4.66,1.15
12,2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Trump,Donald Trump,2017-2021,7.9,1.94
18,2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
24,2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Obama 1,Barack Obama,2009-2013,-0.59,-0.08
30,2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Obama 2,Barack Obama,2013-2017,-1.97,-0.49
36,2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Trump,Donald Trump,2017-2021,-3.92,-0.97
42,2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Biden,Joe Biden,2021-2023,5.06,2.58
48,2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
54,2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Obama 2,Barack Obama,2013-2017,11.46,2.76
